number,sci_name,sex,predicted_attractiveness_sex_model,sd_sex_model
6123,Hemitriccus flammulatus,unknown,5.3398,0.0502
6124,Hemitriccus furcatus,unknown,5.5193,0.0689
6125,Hemitriccus granadensis,unknown,5.7552,0.0458
6126,Hemitriccus griseipectus,unknown,5.2651,0.0498
6127,Hemitriccus inornatus,unknown,4.7333,0.0534
6128,Hemitriccus iohannis,unknown,5.148,0.0454
6129,Hemitriccus kaempferi,unknown,5.5451,0.0576
6130,Hemitriccus margaritaceiventer,unknown,5.2431,0.0572
6131,Hemitriccus minimus,unknown,4.7608,0.0577
6132,Hemitriccus minor,unknown,5.1752,0.0567
6133,Hemitriccus mirandae,unknown,5.7258,0.054
6134,Hemitriccus nidipendulus,unknown,5.8172,0.0726
6135,Hemitriccus obsoletus,unknown,5.4683,0.0631
